
Query: measurement of dielectric constant of liquids by the use of microwave techniques
  1. 8172
  2. 5502
X 3. 9881
X 4. 7234
  5. 1502
  6. 9859
X 7. 6276
X 8. 4871
  9. 7923
X 10. 720
X 11. 4817
X 12. 10652
X 13. 2236
X 14. 8276
  15. 8150
  16. 6824
X 17. 9591
X 18. 7735
X 19. 3693
X 20. 8565
X 21. 9588
X 22. 9295
X 23. 4147
X 24. 8258
X 25. 9350
X 26. 8582
X 27. 8148
X 28. 8061
X 29. 8319
X 30. 11212
X 31. 1756
X 32. 3994
X 33. 6579
X 34. 6275
  35. 4569
X 36. 4463
X 37. 3885
X 38. 4533
X 39. 5039
X 40. 7734
X 41. 2224
X 42. 7230
X 43. 6823
X 44. 1879
X 45. 3064
X 46. 2800
X 47. 3010
X 48. 6467
X 49. 26
X 50. 3115
X 51. 2940
X 52. 4827
X 53. 2487
X 54. 3082
X 55. 719
X 56. 4572
X 57. 444
X 58. 8259
X 59. 3489
X 60. 5493
X 61. 6635
X 62. 3221
  63. 5472
X 64. 3191
X 65. 2005
X 66. 2367
  67. 9988
X 68. 6277
X 69. 10411
X 70. 5912
X 71. 1889
X 72. 9304
X 73. 3246
X 74. 4361
X 75. 5144
X 76. 9679
X 77. 1897
X 78. 690
X 79. 8883
X 80. 3098
X 81. 9209
X 82. 7831
X 83. 7941
X 84. 706
X 85. 265
X 86. 8891
X 87. 10802
X 88. 571
X 89. 5145
X 90. 6250
X 91. 6393
X 92. 152
X 93. 709
X 94. 3083
X 95. 11214
X 96. 9890
X 97. 2980
X 98. 3068
X 99. 10178
X 100. 1898
X 101. 8261
X 102. 4936
X 103. 8908
X 104. 6727
X 105. 964
X 106. 10394
X 107. 4571
X 108. 1989
X 109. 5382
X 110. 4603
X 111. 11181
X 112. 6340
X 113. 1633
X 114. 3215
X 115. 4129
X 116. 7465
X 117. 10924
X 118. 4256
X 119. 7025
X 120. 6461
X 121. 6846
X 122. 58
X 123. 1666
X 124. 11033
X 125. 5394
X 126. 11269
X 127. 4861
  128. 6471
X 129. 1780
X 130. 4259
  131. 8277
X 132. 8825
X 133. 10867
X 134. 11350
X 135. 5750
X 136. 8695
X 137. 5031
X 138. 1238
X 139. 5546
X 140. 7186
X 141. 1002
X 142. 3195
X 143. 6135
X 144. 3336
X 145. 2288
X 146. 4381
X 147. 5300
X 148. 9413
X 149. 3813
X 150. 9560
X 151. 1726
X 152. 7898
  153. 9219
X 154. 4750
X 155. 2833
X 156. 5661
X 157. 8372
X 158. 716
X 159. 7750
X 160. 10522
X 161. 992
X 162. 1104
X 163. 1958
X 164. 3330
X 165. 9286
X 166. 7048
X 167. 9454
X 168. 505
X 169. 1233
X 170. 4637
X 171. 6921
X 172. 7466
X 173. 1079
X 174. 3359
X 175. 9992
X 176. 11108
X 177. 464
X 178. 2374
X 179. 3447
X 180. 4499
X 181. 6018
X 182. 10258
X 183. 10934
X 184. 11247
X 185. 7887
  186. 10588
X 187. 6281
X 188. 8031
X 189. 3534
X 190. 6656
  191. 10081
X 192. 860
X 193. 1245
X 194. 4261
X 195. 6028
X 196. 8583
X 197. 10789
X 198. 10925
X 199. 9594
X 200. 3218
X 201. 7930
X 202. 9497
X 203. 9647
X 204. 10421
X 205. 11126
X 206. 3058
X 207. 3060
X 208. 7599
X 209. 8048
X 210. 10396
X 211. 4359
X 212. 4666
X 213. 9583
X 214. 10299
X 215. 2287
X 216. 3869
X 217. 10939
X 218. 11204
X 219. 9532
X 220. 1886
X 221. 4397
X 222. 5705
X 223. 6013
X 224. 9330
X 225. 10783
X 226. 8241
X 227. 9861
X 228. 369
X 229. 381
X 230. 3586
X 231. 5069
X 232. 5519
X 233. 11332
X 234. 7182
X 235. 72
X 236. 843
X 237. 2100
X 238. 2345
X 239. 2372
X 240. 4017
X 241. 5665
X 242. 7128
X 243. 7322
X 244. 7886
X 245. 8496
X 246. 9340
X 247. 9466
X 248. 8874
X 249. 3549
X 250. 262
X 251. 827
X 252. 2011
X 253. 3758
X 254. 7402
X 255. 8758
X 256. 9036
X 257. 9357
X 258. 9451
X 259. 9524
X 260. 9635
X 261. 10102
X 262. 10187
X 263. 10297
X 264. 11420
X 265. 660
X 266. 3917
X 267. 4818
X 268. 5249
X 269. 6689
X 270. 8727
X 271. 9167
X 272. 9887
X 273. 10722
X 274. 6925
X 275. 9837
X 276. 2840
X 277. 4173
X 278. 10060
X 279. 929
X 280. 3769
  281. 6480
X 282. 3684
X 283. 5195
X 284. 2364
X 285. 7814
X 286. 7151
X 287. 9158
X 288. 9733
X 289. 2948
X 290. 5381
X 291. 5591
X 292. 5615
X 293. 5785
  294. 6664
X 295. 7834
X 296. 11152
X 297. 11310
X 298. 824
X 299. 3548
X 300. 3993
X 301. 4113
X 302. 4552
X 303. 5183
X 304. 5888
X 305. 7140
X 306. 10068
X 307. 9688
X 308. 1828
X 309. 11234
X 310. 307
X 311. 441
X 312. 1180
X 313. 7012
X 314. 7311
X 315. 2104
X 316. 8153
X 317. 7737
X 318. 8368
X 319. 978
X 320. 2238
X 321. 3262
X 322. 7803
X 323. 8824
X 324. 11101
X 325. 23
X 326. 414
X 327. 3683
X 328. 3876
X 329. 4724
X 330. 5081
X 331. 8369
X 332. 8542
X 333. 9878
X 334. 10141
X 335. 11359
X 336. 9935
X 337. 6736
X 338. 8230
X 339. 9660
X 340. 2105
X 341. 2369
X 342. 4641
X 343. 8014
X 344. 1662
X 345. 4060
X 346. 4423
X 347. 5194
X 348. 5747
X 349. 5993
X 350. 6121
X 351. 8032
X 352. 8388
X 353. 9916
X 354. 10946
X 355. 2989
X 356. 149
X 357. 1330
X 358. 9294
X 359. 10256
X 360. 10618
X 361. 182
X 362. 3449
X 363. 4111
X 364. 5669
X 365. 6395
X 366. 9900
X 367. 10434
X 368. 6203
X 369. 6499
X 370. 6519
X 371. 8164
X 372. 537
X 373. 1518
X 374. 1657
X 375. 3079
X 376. 8888
X 377. 9593
X 378. 9602
X 379. 10788
X 380. 1210
X 381. 3547
X 382. 3668
X 383. 4968
X 384. 5723
X 385. 6482
X 386. 3210
X 387. 4301
X 388. 7354
X 389. 1186
X 390. 1992
X 391. 3837
X 392. 4645
X 393. 7132
X 394. 9195
X 395. 9843
X 396. 5577
X 397. 8663
X 398. 412
X 399. 1844
X 400. 2223
X 401. 8364
X 402. 882
X 403. 4308
X 404. 10632
X 405. 7276
X 406. 3405
X 407. 5662
X 408. 6178
X 409. 6571
X 410. 7839
X 411. 187
X 412. 1162
X 413. 1985
X 414. 3500
X 415. 3533
X 416. 3905
X 417. 4125
X 418. 8608
X 419. 10929
X 420. 11324
X 421. 11339
X 422. 4846
  423. 4462
X 424. 679
X 425. 1336
X 426. 1988
X 427. 2556
X 428. 3329
X 429. 3434
X 430. 3490
X 431. 3851
X 432. 4250
X 433. 4675
X 434. 4717
X 435. 6170
X 436. 146
X 437. 2303
X 438. 70
X 439. 1174
X 440. 1242
X 441. 2439
X 442. 2485
X 443. 2831
X 444. 2837
X 445. 3205
X 446. 3990
X 447. 4377
X 448. 7924
X 449. 8543
X 450. 8996
X 451. 9232
X 452. 10940
X 453. 10
X 454. 1089
X 455. 3075
X 456. 3258
X 457. 3848
X 458. 7126
X 459. 8453
X 460. 10515
X 461. 132
X 462. 536
X 463. 618
X 464. 1737
X 465. 1870
X 466. 2410
X 467. 2693
X 468. 3065
X 469. 4227
X 470. 5579
X 471. 8672
X 472. 8841
X 473. 9991
X 474. 11057
X 475. 8253
X 476. 8053
X 477. 222
X 478. 4737
X 479. 7753
X 480. 8298
X 481. 553
X 482. 1066
X 483. 5160
X 484. 1088
X 485. 1494
X 486. 2564
X 487. 2812
X 488. 3096
X 489. 3304
X 490. 3742
X 491. 4244
X 492. 5159
X 493. 7568
X 494. 8443
X 495. 9830
X 496. 3942
X 497. 7539
X 498. 9078
X 499. 9306
X 500. 9993
X 501. 7464
X 502. 7679
X 503. 1830
X 504. 6438
X 505. 35
X 506. 2975
X 507. 3543
X 508. 3764
X 509. 4221
X 510. 4640
X 511. 7082
X 512. 9976
X 513. 10235
X 514. 714
X 515. 1779
X 516. 6729
X 517. 7315
X 518. 7687
X 519. 1846
X 520. 2182
X 521. 2313
X 522. 4058
X 523. 4849
X 524. 5132
X 525. 5628
X 526. 6344
X 527. 7998
X 528. 8501
X 529. 8574
X 530. 9071
X 531. 9932
X 532. 10027
X 533. 53
X 534. 546
X 535. 2554
X 536. 2591
X 537. 2620
X 538. 4832
X 539. 5301
X 540. 6920
X 541. 7940
X 542. 8382
X 543. 8692
X 544. 8710
X 545. 8822
X 546. 8873
X 547. 9815
X 548. 10077
X 549. 10798
X 550. 203
X 551. 804
X 552. 987
X 553. 1235
X 554. 1520
X 555. 3097
X 556. 3327
X 557. 3340
X 558. 4257
X 559. 4431
X 560. 4771
X 561. 5692
X 562. 5995
X 563. 6060
X 564. 8852
X 565. 1380
X 566. 4391
X 567. 7470
X 568. 7623
X 569. 3207
X 570. 4847
X 571. 10784
X 572. 1308
X 573. 1727
X 574. 5436
X 575. 5459
X 576. 9788
X 577. 10830
X 578. 11396
X 579. 114
X 580. 4389
X 581. 4995
X 582. 6139
X 583. 8062
X 584. 9722
X 585. 227
X 586. 1690
X 587. 3287
X 588. 3508
X 589. 4474
X 590. 5077
X 591. 6458
X 592. 6867
X 593. 6987
X 594. 7275
X 595. 7489
X 596. 8005
X 597. 8597
X 598. 9309
X 599. 10217
X 600. 2091
X 601. 303
X 602. 3859
X 603. 8484
X 604. 9836
X 605. 9933
X 606. 1683
X 607. 1707
X 608. 2430
X 609. 2805
X 610. 3048
X 611. 3710
X 612. 3959
X 613. 4188
X 614. 4189
X 615. 4830
X 616. 5543
X 617. 7188
X 618. 7476
X 619. 7992
X 620. 8636
X 621. 9069
X 622. 10074
X 623. 11374
X 624. 4101
X 625. 5779
X 626. 6606
X 627. 7907
X 628. 2252
X 629. 5862
X 630. 69
X 631. 415
X 632. 521
X 633. 697
X 634. 1342
X 635. 1482
X 636. 1984
X 637. 2088
X 638. 2434
X 639. 3824
X 640. 4222
X 641. 5827
X 642. 6611
X 643. 6911
X 644. 8140
X 645. 8607
X 646. 8659
X 647. 9080
X 648. 9407
X 649. 9572
X 650. 9820
X 651. 9990
X 652. 10272
X 653. 10401
X 654. 11075
X 655. 153
X 656. 518
X 657. 1230
X 658. 1777
X 659. 2241
X 660. 3424
X 661. 3909
X 662. 4112
X 663. 4237
X 664. 4964
X 665. 5350
X 666. 5840
X 667. 7013
X 668. 7119
X 669. 7553
X 670. 8255
X 671. 8363
X 672. 8658
X 673. 8717
X 674. 8860
X 675. 9338
X 676. 9402
X 677. 9600
X 678. 9879
X 679. 9987
X 680. 10637
X 681. 10660
X 682. 5999
X 683. 9973
X 684. 133
X 685. 147
X 686. 158
X 687. 395
X 688. 1586
X 689. 1798
X 690. 2205
X 691. 2246
X 692. 2613
X 693. 2673
X 694. 2675
X 695. 2692
X 696. 2695
X 697. 2921
X 698. 2943
X 699. 2944
X 700. 2947
X 701. 3050
X 702. 3339
X 703. 3725
X 704. 3937
X 705. 4093
X 706. 4673
X 707. 5130
X 708. 5457
X 709. 5494
X 710. 5593
X 711. 5832
X 712. 6048
X 713. 6397
X 714. 6800
X 715. 6856
X 716. 6879
X 717. 7285
X 718. 8006
X 719. 8275
X 720. 8970
X 721. 9189
X 722. 9562
X 723. 10023
X 724. 10254
X 725. 10410
X 726. 10494
X 727. 10605
X 728. 10905
X 729. 11173
X 730. 52
X 731. 420
X 732. 1067
X 733. 1476
X 734. 1750
X 735. 2070
X 736. 2560
X 737. 2688
X 738. 4005
X 739. 7829
X 740. 8719
X 741. 9470
X 742. 10039
X 743. 5639
X 744. 7517
X 745. 7810
X 746. 3334
X 747. 5506
X 748. 1635
X 749. 2075
X 750. 2235
X 751. 2300
X 752. 2958
X 753. 3996
X 754. 4260
X 755. 6934
X 756. 7493
X 757. 7752
X 758. 8015
X 759. 9116
X 760. 10059
X 761. 10061
X 762. 10094
X 763. 10656
X 764. 10762
X 765. 10803
X 766. 11087
X 767. 11220
X 768. 11378
X 769. 5241
X 770. 6702
X 771. 6765
X 772. 129
X 773. 145
X 774. 255
X 775. 772
X 776. 895
X 777. 1420
X 778. 1685
X 779. 1884
X 780. 2432
X 781. 2544
X 782. 2549
X 783. 3253
X 784. 3407
X 785. 4279
X 786. 4589
X 787. 4635
X 788. 4659
X 789. 5245
X 790. 5448
